ID,Name,StreetAddress,City,State,ZipCode,HospitalReferralRegion,County,PhoneNumber
10092,"D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST",TUSCALOOSA,AL,35401,"AL - Tuscaloosa",TUSCALOOSA,2057597111
10100,"THOMAS HOSPITAL","750 MORPHY AVENUE",FAIRHOPE,AL,36532,"AL - Mobile",BALDWIN,2519282375
10103,"BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST",BIRMINGHAM,AL,35211,"AL - Birmingham",JEFFERSON,2057833800
10104,"TRINITY MEDICAL CENTER","800 MONTCLAIR RD",BIRMINGHAM,AL,35213,"AL - Birmingham",JEFFERSON,2055921000
10113,"MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE",MOBILE,AL,36652,"AL - Mobile",MOBILE,2514354700
10139,"BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE",BIRMINGHAM,AL,35209,"AL - Birmingham",JEFFERSON,2058771000
20017,"ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD",ANCHORAGE,AK,99508,"AK - Anchorage",ANCHORAGE,9072761131
30006,"TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD",TUCSON,AZ,85712,"AZ - Tucson",PIMA,5203275461
30007,"VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE",COTTONWOOD,AZ,86326,"AZ - Phoenix",YAVAPAI,9286396000
30011,"CARONDELET ST JOSEPH'S HOSPITAL","350 NORTH WILMOT ROAD",TUCSON,AZ,85711,"AZ - Tucson",PIMA,5208733000
30012,"YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD",PRESCOTT,AZ,86301,"AZ - Phoenix",YAVAPAI,9287715676
30024,"ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD",PHOENIX,AZ,85013,"AZ - Phoenix",MARICOPA,6024063000
30030,"PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD",PHOENIX,AZ,85015,"AZ - Phoenix",MARICOPA,6022490212
30061,"BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY",AZ,85351,"AZ - Sun City",MARICOPA,6239777211
30062,"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","SHOW LOW",AZ,85901,"AZ - Phoenix",NAVAJO,9285376399
30065,"BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD",MESA,AZ,85202,"AZ - Mesa",MARICOPA,4804123000
30069,"HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CIT",AZ,86403,"AZ - Phoenix",MOHAVE,9288558185
30085,"NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD",TUCSON,AZ,85741,"AZ - Tucson",PIMA,5207429000
30087,"SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD",SCOTTSDALE,AZ,85260,"AZ - Phoenix",MARICOPA,4803233009
30092,"JOHN C LINCOLN DEER VALLEY HOSPITAL","19829 NORTH 27TH AVENUE",PHOENIX,AZ,85027,"AZ - Phoenix",MARICOPA,6238795574
30101,"WESTERN ARIZONA REGIONAL MEDICAL CTR","2735 SILVER CREEK ROAD","BULLHEAD CITY",AZ,86442,"NV - Las Vegas",MOHAVE,9287632273
30103,"MAYO CLINIC HOSPITAL","5777 EAST MAYO BOULEVARD",PHOENIX,AZ,85054,"AZ - Phoenix",MARICOPA,4803422000
30105,"BANNER HEART HOSPITAL","6750 EAST BAYWOOD AVENUE",MESA,AZ,85206,"AZ - Mesa",MARICOPA,4808545050
40004,"WASHINGTON REGIONAL MED CTR AT NORTH HILLS","3215 N NORTH HILLS BLVD",FAYETTEVILLE,AR,72703,"AR - Springdale",WASHINGTON,4794635113
40007,"ST VINCENT INFIRMARY MEDICAL CENTER","TWO ST VINCENT CIRCLE","LITTLE ROCK",AR,72205,"AR - Little Rock",PULASKI,5015523000
40010,"MERCY MEDICAL CENTER","2710 RIFE MEDICAL LANE",ROGERS,AR,72758,"AR - Springdale",BENTON,4793388000
40020,"ST BERNARDS MEDICAL CENTER","225 E JACKSON",JONESBORO,AR,72401,"AR - Jonesboro",CRAIGHEAD,8709724100
40022,"NW ARKANSAS HOSPITALS, LLC","609 WEST MAPLE AVENUE",SPRINGDALE,AR,72764,"AR - Springdale",WASHINGTON,4797515711
40026,"ST JOSEPHS MERCY HEALTH CENTER INC","300 WERNER STREET","HOT SPRINGS",AR,71903,"AR - Little Rock",GARLAND,5016221000
40027,"BAXTER REGIONAL MEDICAL CENTER","624 HOSPITAL DRIVE","MOUNTAIN HOME",AR,72653,"MO - Springfield",BAXTER,8705081000
40029,"CONWAY REGIONAL MEDICAL CENTER","2302 COLLEGE AVENUE",CONWAY,AR,72034,"AR - Little Rock",FAULKNER,5013293831
40036,"BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","3333 SPRINGHILL DRIVE","NORTH LITTLE RO",AR,72117,"AR - Little Rock",PULASKI,5012023000
40062,"ST EDWARD MERCY MEDICAL CENTER","7301 ROGERS AVE","FORT SMITH",AR,72917,"AR - Fort Smith",SEBASTIAN,4793146000
40078,"NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVENUE","HOT SPRINGS",AR,71901,"AR - Little Rock",GARLAND,5013211000
40088,"MEDICAL CENTER SOUTH ARKANSAS","700 WEST GROVE STREET","EL DORADO",AR,71731,"AR - Little Rock",UNION,8708632000
40114,"BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","LITTLE ROCK",AR,72205,"AR - Little Rock",PULASKI,5012022000
40118,"NEA BAPTIST MEMORIAL HOSPITAL","3024 STADIUM BOULEVARD",JONESBORO,AR,72401,"AR - Jonesboro",CRAIGHEAD,8709727000
40119,"WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET",BATESVILLE,AR,72503,"AR - Little Rock",INDEPENDENCE,8702621200
40134,"ARKANSAS HEART HOSPITAL","1701 S SHACKLEFORD ROAD","LITTLE ROCK",AR,72211,"AR - Little Rock",PULASKI,5012197000
50006,"ST JOSEPH HOSPITAL","2700 DOLBEER ST",EUREKA,CA,95501,"CA - Redding",HUMBOLDT,7074458121
50013,"ST HELENA HOSPITAL","10 WOODLAND ROAD","SAINT HELENA",CA,94574,"CA - Napa",NAPA,7079633611
50017,"MERCY GENERAL HOSPITAL","4001 J ST",SACRAMENTO,CA,95819,"CA - Sacramento",SACRAMENTO,9164534545
50022,"RIVERSIDE COMMUNITY HOSPITAL","4445 MAGNOLIA AVENUE",RIVERSIDE,CA,92501,"CA - San Bernardino",RIVERSIDE,9517883000
50026,"GROSSMONT HOSPITAL","5555 GROSSMONT CENTER DRIVE BOX 58","LA MESA",CA,91942,"CA - San Diego","SAN DIEGO",6194650711
50036,"BAKERSFIELD MEMORIAL HOSPITAL","420 34TH ST BOX 1888",BAKERSFIELD,CA,93301,"CA - Bakersfield",KERN,6613271792
50039,"ENLOE MEDICAL CENTER","1531 ESPLANADE",CHICO,CA,95926,"CA - Chico",BUTTE,5303327300
50057,"KAWEAH DELTA MEDICAL CENTER","400 W MINERAL KING AVE",VISALIA,CA,93291,"CA - Bakersfield",TULARE,5596242000
50069,"ST JOSEPH HOSPITAL","1100 WEST STEWART DR",ORANGE,CA,92868,"CA - Orange County",ORANGE,7146339111
50077,"SCRIPPS MERCY HOSPITAL","4077 5TH AVE","SAN DIEGO",CA,92103,"CA - San Diego","SAN DIEGO",6192948111
50082,"ST JOHNS REGIONAL MEDICAL CENTER","1600 N ROSE AVE",OXNARD,CA,93030,"CA - Ventura",VENTURA,8059882500
50084,"ST JOSEPHS MEDICAL CENTER OF STOCKTON","1800 N CALIFORNIA ST",STOCKTON,CA,95204,"CA - Stockton","SAN JOAQUIN",2099432000
50093,"SAINT AGNES MEDICAL CENTER","1303 E HERNDON AVE",FRESNO,CA,93710,"CA - Fresno",FRESNO,5594503000
50099,"SAN ANTONIO COMMUNITY HOSPITAL","999 SAN BERNARDINO RD",UPLAND,CA,91786,"CA - San Bernardino","SAN BERNARDINO",7149852811
50107,"MARIAN REGIONAL MEDICAL CENTER","1400 E CHURCH ST","SANTA MARIA",CA,93454,"CA - Santa Barbara","SANTA BARBARA",8057393000
50108,"SUTTER GENERAL HOSPITAL","2801 L STREET",SACRAMENTO,CA,95816,"CA - Sacramento",SACRAMENTO,9167338999
50128,"TRI-CITY MEDICAL CENTER","4002 VISTA WAY",OCEANSIDE,CA,92056,"CA - San Diego","SAN DIEGO",7607248411
50133,"RIDEOUT MEMORIAL HOSPITAL","726 4TH ST",MARYSVILLE,CA,95901,"CA - Sacramento",YUBA,5307494300
50145,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","23625 W R HOLMAN HIGHWAY",MONTEREY,CA,93940,"CA - Salinas",MONTEREY,8316245311
50168,"ST JUDE MEDICAL CENTER","101 E VALENCIA MESA DRIVE",FULLERTON,CA,92835,"CA - Orange County",ORANGE,7149923000
50174,"SANTA ROSA MEMORIAL HOSPITAL","1165 MONTGOMERY DR","SANTA ROSA",CA,95405,"CA - Santa Rosa",SONOMA,7075255300
50195,"WASHINGTON HOSPITAL","2000 MOWRY AVE",FREMONT,CA,94538,"CA - Alameda County",ALAMEDA,5107971111
50197,"SEQUOIA HOSPITAL","170 ALAMEDA DE LAS PULGAS","REDWOOD CITY",CA,94062,"CA - San Mateo County","SAN MATEO",6503675551
50222,"SHARP CHULA VISTA MEDICAL CENTER","751 MEDICAL CENTER COURT","CHULA VISTA",CA,91911,"CA - San Diego","SAN DIEGO",6195025800
50224,"HOAG MEMORIAL HOSPITAL PRESBYTERIAN","ONE HOAG DRIVE","NEWPORT BEACH",CA,92663,"CA - Orange County",ORANGE,9496458600
50225,"FEATHER RIVER HOSPITAL","5974 PENTZ ROAD",PARADISE,CA,95969,"CA - Chico",BUTTE,5308779361
50232,"FRENCH HOSPITAL MEDICAL CENTER","1911 JOHNSON AVE","SAN LUIS OBISPO",CA,93401,"CA - San Luis Obispo","SAN LUIS OBISPO",8055435353
50235,"PROVIDENCE SAINT JOSEPH MEDICAL CTR","501 SOUTH BUENA VISTA",BURBANK,CA,91505,"CA - Los Angeles","LOS ANGELES",8188435111
50239,"GLENDALE ADVENTIST MEDICAL CENTER","1509 E WILSON TERRACE",GLENDALE,CA,91206,"CA - Los Angeles","LOS ANGELES",8184098202
50262,"RONALD REAGAN UCLA MEDICAL CENTER","757 WESTWOOD PLAZA","LOS ANGELES",CA,90095,"CA - Los Angeles","LOS ANGELES",3108256301
50280,"MERCY MEDICAL CENTER REDDING","2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,"CA - Redding",SHASTA,5302256102
50290,"SAINT JOHN'S HEALTH CENTER","2121 SANTA MONICA BLVD","SANTA MONICA",CA,90404,"CA - Los Angeles","LOS ANGELES",3108295511
50295,"MERCY HOSPITAL","2215 TRUXTUN AVENUE",BAKERSFIELD,CA,93301,"CA - Bakersfield",KERN,6616325000
50308,"EL CAMINO HOSPITAL","2500 GRANT ROAD","MOUNTAIN VIEW",CA,94040,"CA - San Jose","SANTA CLARA",6509407000
50324,"SCRIPPS MEMORIAL HOSPITAL LA JOLLA","9888 GENESEE AVENUE","LA JOLLA",CA,92037,"CA - San Diego","SAN DIEGO",8586264123
50334,"SALINAS VALLEY MEMORIAL HOSPITAL","450 EAST ROMIE LANE",SALINAS,CA,93901,"CA - Salinas",MONTEREY,8317574333
50335,"SONORA REGIONAL MEDICAL CENTER","1000 GREENLEY ROAD",SONORA,CA,95370,"CA - Modesto",TUOLUMNE,2095323161
50351,"TORRANCE MEMORIAL MEDICAL CENTER","3330 LOMITA BLVD",TORRANCE,CA,90509,"CA - Los Angeles","LOS ANGELES",3103259110
50360,"MARIN GENERAL HOSPITAL","250 BON AIR ROAD, PO BOX 8010",GREENBRAE,CA,94904,"CA - San Francisco",MARIN,4159257900
50382,"CITRUS VALLEY MEDICAL CENTER-IC CAMPUS","210 W  SAN BERNARDINO ROAD",COVINA,CA,91723,"CA - Los Angeles","LOS ANGELES",6268142468
50390,"HEMET VALLEY MEDICAL CENTER","1117 EAST DEVONSHIRE",HEMET,CA,92543,"CA - San Bernardino",RIVERSIDE,9516522811
50394,"COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA","147 N BRENT ST",VENTURA,CA,93003,"CA - Ventura",VENTURA,8056525011
50396,"SANTA BARBARA COTTAGE HOSPITAL","400 WEST PUEBLO","SANTA BARBARA",CA,93102,"CA - Santa Barbara","SANTA BARBARA",8056827111
50438,"HUNTINGTON MEMORIAL HOSPITAL","100 W  CALIFORNIA BLVD",PASADENA,CA,91109,"CA - Los Angeles","LOS ANGELES",6263975000
50441,"STANFORD HOSPITAL","300 PASTEUR DRIVE",STANFORD,CA,94305,"CA - San Mateo County","SANTA CLARA",6507235708
50454,"UCSF MEDICAL CENTER","505 PARNASSUS AVE, BOX 0296","SAN FRANCISCO",CA,94143,"CA - San Francisco","SAN FRANCISCO",4153532733
50464,"DOCTORS MEDICAL CENTER","1441 FLORIDA AVENUE",MODESTO,CA,95350,"CA - Modesto",STANISLAUS,2095781211
50481,"WEST HILLS HOSPITAL & MEDICAL CENTER","7300 MEDICAL CENTER DR","WEST HILLS",CA,91307,"CA - Los Angeles","LOS ANGELES",8186764100
50485,"LONG BEACH MEMORIAL MEDICAL CENTER","2801 ATLANTIC AVE","LONG BEACH",CA,90806,"CA - Los Angeles","LOS ANGELES",5629332000
50496,"JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS","2540 EAST ST",CONCORD,CA,94520,"CA - Contra Costa County","CONTRA COSTA",9256742002
50516,"MERCY SAN JUAN MEDICAL CENTER","6501 COYLE AVE",CARMICHAEL,CA,95608,"CA - Sacramento",SACRAMENTO,9165375000
50557,"MEMORIAL  MEDICAL CENTER","1700 COFFEE RD",MODESTO,CA,95355,"CA - Modesto",STANISLAUS,2095264500
50573,"EISENHOWER MEDICAL CENTER","39-000 BOB HOPE DRIVE","RANCHO MIRAGE",CA,92270,"CA - Palm Springs/Rancho M",RIVERSIDE,7603403911
50603,"SADDLEBACK MEMORIAL MEDICAL CENTER","24451 HEALTH CENTER DRIVE","LAGUNA HILLS",CA,92653,"CA - Orange County",ORANGE,9498374500
50625,"CEDARS-SINAI MEDICAL CENTER","8700 BEVERLY BLVD","LOS ANGELES",CA,90048,"CA - Los Angeles","LOS ANGELES",3104235000
50732,"FRESNO HEART AND SURGICAL HOSPITAL","15 EAST AUDUBON DRIVE",FRESNO,CA,93720,"CA - Fresno",FRESNO,5594338000
50757,"ALVARADO HOSPITAL MEDICAL CENTER","6655 ALVARADO ROAD","SAN DIEGO",CA,92120,"CA - San Diego","SAN DIEGO",6192293172
50761,"PROVIDENCE TARZANA MEDICAL CENTER","18321 CLARK STREET",TARZANA,CA,91356,"CA - Los Angeles","LOS ANGELES",8188810800
50764,"SHASTA REGIONAL MEDICAL CENTER","1100 BUTTE ST",REDDING,CA,96001,"CA - Redding",SHASTA,5302445454
60001,"NORTH COLORADO MEDICAL CENTER","1801 16TH STREET",GREELEY,CO,80631,"CO - Greeley",WELD,9703524121
60014,"PRESBYTERIAN/ST LUKE'S MEDICAL CENTER","1719 E 19TH AVE",DENVER,CO,80218,"CO - Denver",DENVER,3038396000
60020,"PARKVIEW MEDICAL CENTER INC","400 W 16TH STREET",PUEBLO,CO,81003,"CO - Pueblo",PUEBLO,7195844000
60022,"UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL","1400 E BOULDER ST","COLORADO SPRING",CO,80909,"CO - Colorado Springs","EL PASO",7193655000
60023,"ST MARYS HOSPITAL AND MEDICAL CENTER","2635 N 7TH STREET","GRAND JUNCTION",CO,81502,"CO - Grand Junction",MESA,9702981950
60027,"BOULDER COMMUNITY HOSPITAL","1100 BALSAM AVENUE",BOULDER,CO,80304,"CO - Boulder",BOULDER,3034402273
60031,"CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES","2222 N NEVADA AVE","COLORADO SPRING",CO,80907,"CO - Colorado Springs","EL PASO",7197765000
60100,"MEDICAL CENTER OF AURORA, THE","1501 S POTOMAC ST",AURORA,CO,80012,"CO - Denver",ARAPAHOE,3036952600
60119,"MEDICAL CENTER OF THE ROCKIES","2500 ROCKY MOUNTAIN AVENUE",LOVELAND,CO,80538,"CO - Greeley",LARIMER,9706242500
70001,"HOSPITAL OF ST RAPHAEL","1450 CHAPEL ST","NEW HAVEN",CT,6511,"CT - New Haven",,
70002,"ST FRANCIS HOSPITAL & MEDICAL CENTER","114 WOODLAND STREET",HARTFORD,CT,6105,"CT - Hartford",HARTFORD,8607144000
70005,"WATERBURY HOSPITAL","64 ROBBINS ST",WATERBURY,CT,6721,"CT - New Haven","NEW HAVEN",2035736000
70006,"STAMFORD HOSPITAL","30 SHELBURNE ROAD",STAMFORD,CT,6904,"CT - Bridgeport",FAIRFIELD,2032761000
70016,"SAINT MARYS HOSPITAL","56 FRANKLIN ST",WATERBURY,CT,6706,"CT - New Haven","NEW HAVEN",2035746000
70017,"MIDSTATE MEDICAL CENTER","435 LEWIS AVE",MERIDEN,CT,6450,"CT - New Haven","NEW HAVEN",2036948200
70020,"MIDDLESEX HOSPITAL","28 CRESCENT ST",MIDDLETOWN,CT,6457,"CT - Hartford",MIDDLESEX,8603446000
70022,"YALE-NEW HAVEN HOSPITAL","20 YORK ST","NEW HAVEN",CT,6504,"CT - New Haven","NEW HAVEN",2036884242
70025,"HARTFORD HOSPITAL","80 SEYMOUR STREET",HARTFORD,CT,6102,"CT - Hartford",HARTFORD,8605455000
70028,"ST VINCENT'S MEDICAL CENTER","2800 MAIN ST",BRIDGEPORT,CT,6606,"CT - Bridgeport",FAIRFIELD,2035765551
70033,"DANBURY HOSPITAL","24 HOSPITAL AVE",DANBURY,CT,6810,"CT - New Haven",FAIRFIELD,2037977000
70034,"NORWALK HOSPITAL ASSOCIATION","24 STEVENS STREET",NORWALK,CT,6856,"CT - Bridgeport",FAIRFIELD,2038522000
80001,"CHRISTIANA CARE HEALTH SERVICES, INC.","4755 OGLETOWN-STANTON ROAD",NEWARK,DE,19718,"DE - Wilmington","NEW CASTLE",3027331000
80004,"BAYHEALTH - KENT GENERAL HOSPITAL","640 S STATE STREET",DOVER,DE,19901,"DE - Wilmington",KENT,3027447001
80007,"BEEBE MEDICAL CENTER","424 SAVANNAH RD",LEWES,DE,19958,"MD - Salisbury",SUSSEX,3026453300
90011,"WASHINGTON HOSPITAL CENTER","110 IRVING ST NW",WASHINGTON,DC,20010,"DC - Washington","DISTRICT OF COLUMBIA",2028777000
100002,"BETHESDA  HOSPITAL EAST","2815 S SEACREST BLVD","BOYNTON BEACH",FL,33435,"FL - Fort Lauderdale","PALM BEACH",5617377733
100006,"ORLANDO HEALTH","1414 S KUHL AVE",ORLANDO,FL,32806,"FL - Orlando",ORANGE,3218415111
100007,"FLORIDA HOSPITAL","601 E ROLLINS ST",ORLANDO,FL,32803,"FL - Orlando",ORANGE,4073031976
100008,"BAPTIST HOSPITAL OF MIAMI INC","8900 N KENDALL DR",MIAMI,FL,33176,"FL - Miami",MIAMI-DADE,7865961960
100012,"LEE MEMORIAL HOSPITAL","2776 CLEVELAND AVE","FORT MYERS",FL,33901,"FL - Fort Myers",LEE,2393321111
100017,"HALIFAX HEALTH MEDICAL CENTER","303 N CLYDE MORRIS BLVD","DAYTONA BEACH",FL,32114,"FL - Ormond Beach",VOLUSIA,3862544000
100018,"NAPLES COMMUNITY HOSPITAL","350 7TH ST N",NAPLES,FL,34102,"FL - Fort Myers",COLLIER,2394365000
100019,"HOLMES REGIONAL MEDICAL CENTER","1350 S HICKORY ST",MELBOURNE,FL,32901,"FL - Orlando",BREVARD,3214347000
100023,"CITRUS MEMORIAL HOSPITAL","502 W HIGHLAND BLVD",INVERNESS,FL,34452,"FL - Ocala",CITRUS,3527261551
100025,"SACRED HEART HOSPITAL","5151 N 9TH AVE",PENSACOLA,FL,32504,"FL - Pensacola",ESCAMBIA,8504167000
100026,"BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM","615 N BONITA AVE","PANAMA CITY",FL,32401,"FL - Panama City",BAY,8507691511
100028,"PARRISH MEDICAL CENTER","951 N WASHINGTON AVE",TITUSVILLE,FL,32796,"FL - Orlando",BREVARD,3212686111
100034,"MOUNT SINAI MEDICAL CENTER","4300 ALTON RD","MIAMI BEACH",FL,33140,"FL - Miami",MIAMI-DADE,3056742121
100035,"MANATEE MEMORIAL HOSPITAL","206 2ND ST E",BRADENTON,FL,34208,"FL - Bradenton",MANATEE,9417465111
100040,"ST VINCENT'S MEDICAL CENTER","1 SHIRCLIFF WAY",JACKSONVILLE,FL,32204,"FL - Jacksonville",DUVAL,9043087300
100044,"MARTIN MEDICAL CENTER","200 SE HOSPITAL AVE",STUART,FL,34995,"FL - Fort Lauderdale",MARTIN,7722875200
100046,"FLORIDA HOSPITAL ZEPHYRHILLS","7050 GALL BLVD",ZEPHYRHILLS,FL,33541,"FL - Tampa",PASCO,8137880411
100049,"HIGHLANDS REGIONAL MEDICAL CENTER","3600 S HIGHLANDS AVE",SEBRING,FL,33870,"FL - Orlando",HIGHLANDS,8633856101
100052,"WINTER HAVEN HOSPITAL","200 AVE F NE","WINTER HAVEN",FL,33881,"FL - Orlando",POLK,8632931121
100057,"FLORIDA HOSPITAL WATERMAN","1000 WATERMAN WAY",TAVARES,FL,32778,"FL - Orlando",LAKE,3522533300
100062,"MUNROE REGIONAL MEDICAL CENTER","1500 SW 1ST AVE",OCALA,FL,34474,"FL - Ocala",MARION,3523517200
100067,"ST ANTHONY'S HOSPITAL","1200 7TH AVENUE NORTH","SAINT PETERSBUR",FL,33705,"FL - St. Petersburg",PINELLAS,7278251100
100068,"FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER","301 MEMORIAL MEDICAL PARKWAY","DAYTONA BEACH",FL,32117,"FL - Ormond Beach",VOLUSIA,3866766000
100070,"VENICE REGIONAL MEDICAL CENTER","540 THE RIALTO",VENICE,FL,34285,"FL - Sarasota",SARASOTA,9414857711
100071,"BROOKSVILLE REGIONAL HOSPITAL","17240 CORTEZ BLVD",BROOKSVILLE,FL,34601,"FL - Hudson",HERNANDO,3527965111
100073,"HOLY CROSS HOSPITAL INC","4725 N FEDERAL HWY","FORT LAUDERDALE",FL,33308,"FL - Fort Lauderdale",BROWARD,9547718000
100075,"ST JOSEPH'S HOSPITAL","3001 W MARTIN LUTHER KING JR BLVD",TAMPA,FL,33677,"FL - Tampa",HILLSBOROUGH,8138704398
100077,"PEACE RIVER REGIONAL MEDICAL CENTER","2500 HARBOR BLVD","PORT CHARLOTTE",FL,33952,"FL - Fort Myers",CHARLOTTE,9417664122
100080,"JFK MEDICAL CENTER","5301 S CONGRESS AVE",ATLANTIS,FL,33462,"FL - Fort Lauderdale","PALM BEACH",5619657300
100084,"LEESBURG REGIONAL MEDICAL CENTER","600 E DIXIE AVE",LEESBURG,FL,34748,"FL - Orlando",LAKE,3523235762
100087,"SARASOTA MEMORIAL HOSPITAL","1700 S TAMIAMI TRL",SARASOTA,FL,34239,"FL - Sarasota",SARASOTA,9419179000
100088,"BAPTIST MEDICAL CENTER","800 PRUDENTIAL DR",JACKSONVILLE,FL,32207,"FL - Jacksonville",DUVAL,9042022000
100090,"FLAGLER HOSPITAL","400 HEALTH PARK BLVD","SAINT AUGUSTINE",FL,32086,"FL - Jacksonville","SAINT JOHNS",9048194426
100092,"WUESTHOFF MEDICAL CENTER  ROCKLEDGE","110 LONGWOOD AVE",ROCKLEDGE,FL,32955,"FL - Orlando",BREVARD,3216372603
100093,"BAPTIST HOSPITAL","1000 W MORENO ST",PENSACOLA,FL,32501,"FL - Pensacola",ESCAMBIA,8504344011
100105,"INDIAN RIVER MEDICAL CENTER","1000 36TH ST","VERO BEACH",FL,32960,"FL - Orlando","INDIAN RIVER",7725674311
100109,"FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER","4200 SUN N' LAKE BLVD",SEBRING,FL,33871,"FL - Orlando",HIGHLANDS,8633144466
100110,"OSCEOLA REGIONAL MEDICAL CENTER","700 WEST OAK STREET",KISSIMMEE,FL,34741,"FL - Orlando",OSCEOLA,4078462266
100113,"SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA","1600 SW ARCHER RD",GAINESVILLE,FL,32610,"FL - Gainesville",ALACHUA,3522658000
100118,"FLORIDA HOSPITAL FLAGLER","60 MEMORIAL MEDICAL PKWY","PALM COAST",FL,32164,"FL - Ormond Beach",FLAGLER,3865862000
100126,"PALMS OF PASADENA HOSPITAL","1501 PASADENA AVE SOUTH","SAINT PETERSBUR",FL,33707,"FL - St. Petersburg",PINELLAS,7273811000
100127,"MORTON PLANT HOSPITAL","300 PINELLAS ST",CLEARWATER,FL,33756,"FL - Clearwater",PINELLAS,7274627000
100128,"TAMPA GENERAL HOSPITAL","1 TAMPA GENERAL CIRCLE",TAMPA,FL,33606,"FL - Tampa",HILLSBOROUGH,8138447000
